,bath,bed,furnished,price,size,street,where
18338,2.0,2.0,0,6000,1171,330 East 38th Street #44E,Murray Hill
18339,2.0,3.0,0,9000,,330 East 38th Street #48FG,Murray Hill
18340,1.0,2.0,0,2625,1000,98-30 67th Avenue #2P,Forest Hills
18341,1.0,1.0,0,3500,850,150 West 50th Street #1425,Midtown
18342,2.0,1.0,0,5300,1091,15 William Street DUPLEX6,Financial District
18343,1.0,1.0,0,3795,,150 E 44th Street #7D,Turtle Bay
18344,3.5,3.0,0,16000,,411 West End Avenue #16CD,Upper West Side
18345,,1.0,0,2450,400,301 East 53rd Street #A,Sutton Place
18346,2.0,3.0,0,3000,1000,63 Jefferson Avenue #3,Bedford-Stuyvesant
18347,1.5,3.0,0,3230,,127 Graham Avenue #3R,Williamsburg
18348,3.5,3.0,0,25000,2540,150 Charles Street #3GS,West Village
18349,1.0,3.0,0,2495,,117 East 96 #6,Carnegie Hill
18350,1.0,1.0,0,2950,600,301 East 53rd Street #4D,Sutton Place
18351,1.0,1.0,0,2950,600,301 East 53rd Street #3D,Sutton Place
18352,1.0,1.0,0,2950,600,301 East 53rd Street #2D,Sutton Place
18353,1.0,1.0,0,2950,600,301 East 53rd Street #2A,Sutton Place
18354,1.0,1.0,0,2950,600,301 East 53rd Street #1A,Sutton Place
18355,1.0,1.0,0,3100,900,404 East 76th Street #3A,Upper East Side
18356,1.0,2.0,0,3500,1200,36-46 South 4th Street #D3,Williamsburg
18357,1.0,2.0,0,2400,,126 Herkimer Street #4,Bedford-Stuyvesant
18358,1.0,2.0,0,2450,,301 East 104th Street #5,East Harlem
18359,1.0,1.0,0,3350,537,301 West 57th Street #26F,Midtown West
18360,1.0,1.0,0,2100,558,456 West 167th Street #6F,Washington Heights
18361,,2.0,1,4950,1000,710 Saint Nicholas Avenue #3,Hamilton Heights
18362,,2.0,1,3750,1000,710 Saint Nicholas Avenue #4,Hamilton Heights
18363,2.0,2.0,0,12000,1534,200 Chambers Street #6C,Tribeca
18364,2.0,2.0,0,12500,1534,200 Chambers Street #22C,Tribeca
18365,1.0,4.0,0,6200,1400,460 W 51st Street #2AB,Midtown West
18366,1.0,2.0,0,3150,,42-74 Hunter Street #2,Hunters Point
18367,1.0,2.0,0,2850,,42-74 Hunter Street #1,Hunters Point
18368,2.0,4.0,0,5700,,42-74 Hunter Street #1/2,Hunters Point
18369,1.0,2.0,0,1800,1000,84-38 120th Street #3E,Kew Gardens
18370,1.0,1.0,0,2500,,328 Eighth Avenue #2B,Chelsea
18371,1.0,1.0,0,4675,,312 Eleventh Avenue #25G,West Chelsea
18372,3.0,3.0,0,20000,2948,481 Washington Street #3S,Soho
18373,1.0,2.0,0,2225,950,34-10 84th Street #H31,Jackson Heights
18374,1.0,2.0,0,2700,821,207 Prospect Park SW #5E,Windsor Terrace
18375,1.0,2.0,0,2350,,462 E 134th #3,North New York
18376,2.0,3.0,0,2350,,462 E 134th #2,North New York
18377,2.0,5.0,0,4400,,1426 DeKalb #1L,Bushwick
18378,1.0,2.0,0,3550,,127 Lexington Avenue #7C,Kips Bay
18379,1.0,1.0,0,2750,728,47-05 Center Boulevard #603,Hunters Point
18380,1.0,1.0,0,2900,870,20 Exchange Place #709,Financial District
18381,,2.0,1,9495,1900,436 West 20th Street #GARDEN,West Chelsea
18382,1.0,1.0,0,1950,,769 Greene Avenue #2,Stuyvesant Heights
18383,2.5,3.0,0,5500,1600,243 East 53rd Street #1,Midtown East
18384,1.0,,0,2390,,319 E 53rd Street #5A,Sutton Place
18385,2.0,2.0,0,5340,,235 West 48th Street #41H,
18386,2.5,3.0,0,5500,1600,243 East 53rd Street #1,Midtown East
18387,1.5,1.0,0,2500,950,63-36 99th Street #4B,Rego Park
18388,3.5,3.0,0,29500,,111 East 56th Street #2101,Midtown
18389,1.0,1.0,0,1895,,884 Riverside Drive #1L,Washington Heights
18390,1.0,2.0,0,4500,,228 Clinton Street #2,Cobble Hill
18391,1.0,1.0,0,5075,717,21 East 1st Street #902,East Village
18392,2.5,2.0,0,17500,1815,25 Central Park West #15T,Lincoln Square
