,bath,bed,furnished,price,size,street,where
0,,1.0,1,3950,724,505 West 37th Street #18B,Midtown West
1,2.0,,1,14000,,2 Jones Street #401,West Village
2,1.0,,0,2895,,364 West 18th Street #1F,
3,1.0,,1,2250,,43 E 1st Street #15,East Village
4,1.0,1.0,0,2750,750,564 Morgan Avenue #1R,Greenpoint
5,1.0,,0,2815,,400 East 57th Street #9R,
6,1.0,2.0,0,2599,850,41-49 45th Street #2A,Sunnyside
7,1.0,,0,3915,490,105 W 29th Street #36A,Chelsea
8,1.0,1.0,0,3610,683,175 Kent Avenue #515,Williamsburg
9,1.0,1.0,0,3750,666,305 West 50th Street #8E,Midtown West
10,1.0,3.0,0,3000,1000,254 Manhattan Avenue #3A,Central Harlem
11,1.0,2.0,0,4895,,2 West 16th Street #PFR,
12,1.0,1.5,0,2900,,98 Franklin Street #3,Greenpoint
13,1.0,1.0,0,4495,,20 Park Avenue #10F,
14,1.0,,0,2695,,400 E 66th Street #8A,Lenox Hill
15,1.0,2.0,0,4350,,166 East 34th Street #802,Kips Bay
16,1.0,1.0,0,4495,,20 Park Avenue #10F,
17,1.0,,0,3600,928,10-40 River Road #6J,Roosevelt Island
18,1.0,1.0,0,3000,,230 West 107th Street #1I,
19,3.5,2.0,0,35000,2241,15 Central Park West #10G,Lincoln Square
20,2.0,2.0,0,5500,,29 Joralemon Street #DUPLEX,Brooklyn Heights
21,1.0,2.0,0,1885,,112 Saint Nicholas Avenue #2L,Bushwick
22,1.0,2.0,0,2300,,336 Chauncey Street #3A,Stuyvesant Heights
23,1.0,2.0,0,2300,,336 Chauncey Street #3A,Stuyvesant Heights
24,1.0,2.0,0,2600,,133 West 116th Street #2A,Central Harlem
25,1.0,1.0,0,3495,,246 Mott Street #17,Nolita
26,1.0,1.0,0,2695,,219 E 23rd Street #2,Kips Bay
27,2.0,3.0,0,2550,,55 Linden Boulevard #1T,Flatbush
28,1.0,2.0,0,3450,1000,43 7th Avenue #4,Park Slope
29,1.0,2.0,0,2200,,987 Jefferson Avenue #GARDEN,Stuyvesant Heights
30,2.0,2.0,0,4400,1250,36 Conselyea Street #33,Williamsburg
31,2.5,3.0,0,8245,,350 East 79th Street #20C,Upper East Side
32,1.0,,0,3646,,101 West 15th Street #518,
33,1.0,1.0,0,1550,,199 Linden #11D,Bushwick
34,1.0,,0,2800,,201 West 71st Street #5J,Lincoln Square
35,1.0,1.0,0,3200,,382 Central Park West #17H,Upper West Side
36,1.0,2.0,0,1600,,2323 East 12th Street #4F,
37,1.0,2.0,0,1600,,2365 East 13th Street #5W,
38,1.0,1.0,0,1600,,2245 Ocean Parkway #5G,
39,2.0,4.0,0,3150,1000,55 Linden Boulevard #2J,Flatbush
40,1.0,,0,1490,,170 Hawthorne #6E,Prospect Lefferts Gardens
41,1.0,0.0,0,2750,,75 Wall Street #22I,Financial District
42,2.0,3.0,0,7604,,450 North End Avenue #18E,Battery Park City
43,1.0,,0,2100,600,322 West 104 #2F,Upper West Side
44,1.0,1.0,0,1900,,3692 Bedford Avenue #6C,
45,1.5,1.0,0,2650,,465 Columbus Avenue #8A,Upper West Side
46,1.0,2.0,0,1650,,1230 Avenue X #1F,
47,1.0,2.0,0,2596,,112 Mulberry Street #13,Little Italy
48,,,0,1800,,415 West 24th Street #1F,West Chelsea
49,1.0,1.0,0,1550,,1869 83rd Street #2H,Bensonhurst
50,1.0,1.0,0,2000,,590 Monroe Street #1,Bedford-Stuyvesant
51,1.0,,0,1995,,700 East 9th Street #24,
52,3.0,4.0,0,3100,,58-49 213rd Street ,Bayside
53,1.0,2.0,0,1950,,53-01 32nd Avenue #1G,Woodside
54,1.0,2.0,0,2699,800,370 W 52nd Street #4A,
55,1.0,,0,1600,425,211 W. 146th Street #2C,Central Harlem
56,1.0,2.0,0,4967,,301 E 47 #19G,
57,2.0,1.0,0,2577,,83-30 Kew Gardens Rd #2F,Kew Gardens
58,1.0,1.0,0,2495,,645 Second Avenue #5,
59,1.0,1.0,0,2145,,1688 York Avenue #2,
60,1.0,1.0,0,2145,,1688 York Avenue #2,
61,2.0,3.0,0,1999,,558 Ridgewood Avenue #3,East New York
62,1.0,2.0,0,2400,,31-06 38th Street #6,Astoria
63,2.0,3.0,0,1999,,558 Ridgewood Avenue #2,East New York
64,2.0,2.0,0,2700,,3111 Ocean Parkway #3,Brighton Beach
65,2.0,2.0,0,1700,,558 Ridgewood Avenue #1,East New York
66,1.0,1.0,0,1949,,678 Flatbush Avenue #3,Prospect Lefferts Gardens
67,1.0,1.5,0,2900,,111 Milton Street #1,Greenpoint
68,1.0,,1,3500,600,20 Pine Street #1905,
69,1.0,2.0,0,1950,,475 Ocean Avenue #2,Flatbush
70,1.0,3.0,0,4295,,410 E 13th Street #2A,East Village
71,2.0,2.0,0,5295,,310 Greenwich Street #7N,Tribeca
72,2.0,3.0,0,2850,,1582 Union Street #1,Crown Heights
73,1.0,3.0,0,5500,1000,520 East 12th Street #1B,East Village
74,1.0,1.0,0,1900,,133 Ft George #3C,Fort George
75,1.5,3.0,0,3200,,611 W.148th Street #45,Hamilton Heights
76,1.0,1.0,0,1650,600,700 West 176th Street #3B,Hudson Heights
77,2.0,4.0,0,3650,,810 Saint Johns Place #4A,Crown Heights
78,2.0,2.0,0,5723,,41 River Terrace #308,Battery Park City
79,1.0,1.0,0,3475,,4705 Center Boulevard #1904,Hunters Point
80,1.0,1.0,0,2764,,200 Water Street #806,Fulton/Seaport
81,1.0,1.0,0,3601,,41 River Terrace #3307,Battery Park City
82,2.0,2.0,0,4801,,41 River Terrace #1204,Battery Park City
83,1.0,1.0,0,3500,,4705 Center Boulevard #2913,Hunters Point
84,1.0,,0,2795,,7 East 14th Street #1204,Flatiron
85,1.0,1.0,0,2541,,41-42 24th Street #1108,Long Island City
86,2.0,,0,4846,,200 Water Street #310,Fulton/Seaport
87,1.0,,0,2917,,200 Water Street #2808,Fulton/Seaport
88,1.0,1.0,0,3590,,561 Tenth Avenue #19A,Midtown West
89,1.0,1.0,0,3600,670,555 West 23rd Street #N7L,West Chelsea
90,1.0,2.0,0,2700,,9 Conselyea Street #2,Williamsburg
91,1.0,1.0,0,3900,,7 East 14th Street #915,Flatiron
92,1.0,,0,2600,,365 West End Avenue #8G,Upper West Side
93,1.0,1.0,0,1995,,405 East 77th Street #16,Upper East Side
94,4.0,4.0,0,16000,,365 West End Avenue #1103,Upper West Side
95,1.0,,0,1700,,49 West 130th Street #2,Central Harlem
96,1.0,2.0,0,2400,,"42-42 Union Street, 4C ",East Flushing
97,1.0,1.0,0,3200,715,310 West 52nd Street #3JJ,Midtown West
98,2.0,2.0,0,4350,1250,36 Conselyea Street #7,Williamsburg
99,1.0,3.0,0,2900,,23-71 23rd Street #2,Astoria
100,1.0,1.0,0,1600,,30-40 82nd Street ,Jackson Heights
101,1.0,,0,2250,,235 West 102nd Street #5Q,Upper West Side
102,1.0,2.0,0,3950,900,314 East 41st Street #B401,Murray Hill
103,1.0,2.0,0,6000,1400,180 Duane Street #4,Tribeca
104,1.0,,0,2650,,1 Wall Street Court #203,Financial District
105,1.0,1.0,0,2500,,1 Bay Club Dr ,Bay Terrace (Queens)
106,3.5,3.0,0,29500,2291,150 Charles Street #5BN,West Village
107,1.0,3.0,0,2000,,46 Wadsworth Terrace #55,Fort George
108,1.0,2.0,0,2300,,137 W 137th #5F,Central Harlem
109,1.0,1.0,0,1925,707,620 Lenox Avenue #10H,Central Harlem
110,1.0,1.0,0,1850,707,620 Lenox Avenue #1H,Central Harlem
111,1.0,1.0,0,1835,596,45 West 139th Street #3C,Central Harlem
112,2.0,2.0,0,4199,1506,95 Dupont Street #PH4,Greenpoint
113,2.0,3.0,0,8200,,49 East 7th Street #1,East Village
114,1.0,1.0,0,2800,,300 East 5th Street #8,East Village
115,1.5,2.0,0,6495,,300 Mercer Street #32E,Greenwich Village
116,1.0,3.0,0,2749,,1342 Myrtle Avenue #2,Bushwick
117,1.0,1.0,0,2999,733,540 East 20th Street #9G,Stuyvesant Town/PCV
118,1.0,2.0,0,4817,932,4 Stuyvesant Oval #11G,Stuyvesant Town/PCV
119,1.0,1.0,0,4217,944,431 East 20th Street #9E,Stuyvesant Town/PCV
120,1.0,3.0,0,2245,,1544 Nostrand Avenue #2,Flatbush
121,3.0,3.0,0,10250,,200 E. 82nd Street #7DE,Yorkville
122,1.0,,0,3725,,150 E 44th Street #48F,Turtle Bay
123,1.0,1.0,0,4325,,250 West 93rd Street #19B,Upper West Side
124,1.0,1.0,0,3625,643,520 West 43rd Street #28J,Midtown West
125,1.0,,0,2925,476,520 West 43rd Street #28C,Midtown West
126,1.0,1.0,0,2995,599,335 Carroll Street #2G,Carroll Gardens
127,1.0,,0,3125,,41 Park Avenue #11G,Murray Hill
128,2.0,2.0,0,4425,850,520 West 43rd Street #6Q,Midtown West
129,1.0,,0,3250,,260 W 52nd Street #PHF,Midtown
130,1.0,1.0,0,3495,750,408 East 92nd Street #5H,Yorkville
131,1.0,1.0,0,2400,802,97-45 Queens Boulevard #206,Rego Park
132,1.0,1.0,0,1695,777,1201 Ocean Parkway #2G,Ocean Parkway
133,1.0,1.0,0,1650,753,1640 Ocean Parkway #2B6,Ocean Parkway
134,1.0,1.0,0,1595,730,3232 Shore Parkway #5E,Brighton Beach
135,1.0,3.0,0,1900,,141-10 Negundo Avenue #1STFL,East Flushing
136,1.0,1.0,0,2600,770,266 Washington Avenue #A4,Clinton Hill
137,1.0,1.0,0,2895,800,205 W 88th Street #9D,Upper West Side
138,1.0,2.0,0,3600,,488 7th Avenue UNIT-9A,Midtown South
139,1.0,1.0,0,3850,,150 West 51st Street #1722,Midtown West
140,2.0,2.0,0,6500,1370,75 Wall Street #33O,Financial District
141,1.0,,0,3623,826,95 Wall Street #2113,Financial District
142,1.0,1.0,0,3850,,150 West 51st Street #1722,Midtown West
143,2.0,3.0,0,6300,,246 Tenth Avenue #6,West Chelsea
144,1.0,2.0,0,3095,,343 East 51st Street #1D,Turtle Bay
145,1.0,1.0,0,2375,,792 Ninth Avenue #2R,Midtown West
146,1.0,1.0,0,2199,,641 10th Avenue #3F,Midtown West
147,1.0,,0,1799,,454 W 45th Street #1W,Midtown West
148,1.0,,0,1700,,2 Dartmouth Street #M34,Forest Hills
149,1.0,2.0,0,2900,900,1633 Dekalb Avenue #2B,Bushwick
150,1.5,1.0,0,2500,1100,1633 Dekalb Avenue #1F,Bushwick
151,1.0,2.0,0,2800,900,1633 Dekalb Avenue #2F,Bushwick
152,1.0,2.0,0,2800,900,1633 Dekalb Avenue #3F,Bushwick
153,1.0,2.0,0,3000,900,1633 Dekalb Avenue #3B,Bushwick
154,4.0,5.0,0,55000,5737,50 East 73rd Street ,Upper East Side
155,1.0,,0,2095,,166 West 75th Street #1505,Upper West Side
156,2.0,2.0,0,3400,1500,1633 Dekalb Avenue #4F,Bushwick
157,2.0,2.0,0,3600,1500,1633 Dekalb Avenue #4B,Bushwick
158,1.5,2.0,0,3600,1400,1633 Dekalb Avenue #1B,Bushwick
159,1.0,1.0,0,1550,,3660 Waldo Avenue #2J,Kingsbridge
160,1.0,2.0,0,2015,,614 Marlborough Road #2R,Ditmas Park
161,1.0,1.0,0,2195,,1084 Manhattan Avenue #2R,Greenpoint
162,1.5,1.0,0,4950,1148,534 West 42nd Street #3,Midtown West
163,1.0,2.0,0,2695,,220 East 78th Street #2,Upper East Side
164,1.0,1.0,0,1650,550,1018 Manhattan Avenue #6,Greenpoint
165,1.0,1.0,0,1000,800,151 Trenton Ct #2,Princes Bay
166,2.0,2.0,0,6753,1060,55 West 26th Street #37D,Chelsea
167,1.5,3.0,0,4250,,64 President Street GARDEN-APT,Columbia St Waterfront District
168,1.0,1.0,0,3400,650,401 East 80th Street #5J,Yorkville
169,1.0,1.0,0,2500,,7 West 92nd Street #4A,Upper West Side
170,1.0,2.0,0,2300,,247 Lefferts Avenue #2,Prospect Lefferts Gardens
171,1.0,,1,1900,,440 West 41st Street #7D,Midtown West
172,1.5,2.0,0,2500,,809 Brooklyn Avenue #1,Northeast Flatbush
173,1.5,1.0,0,6500,820,101 West 67th Street #50G,
174,1.5,1.0,0,4650,985,265 East 66th Street #15G,Lenox Hill
175,1.0,1.0,0,3950,,166 Elizabeth Street #5C,Nolita
176,1.0,1.0,0,3600,,372 Central Park West #1H,Upper West Side
177,1.0,1.0,0,3000,,125 Freeman Street #1,Greenpoint
178,2.0,2.0,0,7300,1221,325 Fifth Avenue #32F,Midtown South
179,1.0,1.0,0,3350,,54 West 11th Street #5,Greenwich Village
180,1.5,1.0,0,2660,,36 West 73 #1,Upper West Side
181,1.0,,0,2325,,814 Tenth Avenue #2A,Midtown West
182,1.0,2.0,0,2750,,23-10 31 Drive #5,Long Island City
183,1.0,1.0,0,3900,708,350 West 43rd Street #36C,Midtown West
184,1.0,,0,2425,,8 West 76 #3B,Upper West Side
185,1.0,1.0,0,3450,,70 West 87 #A,Upper West Side
186,2.0,2.0,0,9550,1700,275 Central Park West #14E,Upper West Side
187,4.0,4.0,0,14950,2700,275 Central Park West #5B,Upper West Side
188,4.0,4.0,0,14950,2700,275 Central Park West #5C,Upper West Side
189,1.0,1.0,0,3995,950,155 Riverside Drive #5C,Upper West Side
190,1.0,1.0,0,3000,900,425 Riverside Drive #1D,Morningside Heights
191,1.5,2.0,0,3790,,160 West 76 #4,
192,1.0,1.0,0,1250,,2543 Bronxwood Avenue #2,Bronxwood
193,1.0,2.0,0,2950,,24 Prospect Park SW #3,Windsor Terrace
194,1.0,2.0,0,2295,,795 Grand Street #3F,Williamsburg
195,2.0,2.0,0,3350,,50 West 90 #B6,
196,1.0,2.0,0,3095,,96 Steuben Street #3B,Brooklyn
197,1.5,1.0,0,8850,1500,115 Wooster Street #6F,Soho
198,1.0,1.0,0,2000,,1508 Bedford Avenue #8,Crown Heights
199,1.0,1.0,0,2850,,255 West 75 #2,
200,1.0,1.0,0,1275,1100,1404 Noble Avenue #4D,Soundview
201,1.0,1.0,0,2100,,239 E 77th Street #1B,Upper East Side
202,1.5,2.0,0,2650,1020,501 Surf Avenue #18P,Brighton Beach
203,1.0,1.0,0,2425,,327-333 East 90th Street #5K,Yorkville
204,1.0,,0,2095,,340 East 90th Street #3J,Yorkville
205,1.0,1.0,0,2650,,340 East 90th Street #4T,Yorkville
206,1.0,1.0,0,2225,,416 East 74th Street #5A,Upper East Side
207,1.0,1.0,0,1750,,40-09 25th Avenue #1,Astoria
208,1.0,2.0,0,2250,,1627 Park Avenue #4A,East Harlem
209,1.0,2.0,0,3500,1300,36 South 4th Street #D3,Williamsburg
210,1.0,1.0,0,2253,,120 E 102nd Street #A,East Harlem
211,7.0,6.0,0,85000,7700,48 East 81st Street TOWNHOUSE,Upper East Side
212,1.0,2.0,0,1650,,1545 Park Place #8D,Crown Heights
213,1.0,1.0,0,1825,,30-44 32nd Street #B1,Astoria
214,1.0,1.0,0,1600,,12-21 31st Avenue #3C,Astoria
215,1.0,1.0,0,2500,900,153 Guernsey Street #2,Greenpoint
216,1.0,2.0,0,3000,,571 Academy Street #PH5H,
217,2.5,2.0,0,5500,1400,418 East 59th Street #6A,Sutton Place
218,1.0,1.0,0,2900,507,189 Schermerhorn Street #23H,Downtown Brooklyn
219,1.5,2.0,0,3800,850,4 West 83rd Street #1,Upper West Side
220,1.0,1.0,0,2100,,178 Nevins Street #1R,Boerum Hill
221,1.0,2.0,0,2100,,462 76th Street #D1,Bay Ridge
222,1.0,,0,1495,504,65-61 Saunders Street #8E,Rego Park
223,1.0,4.0,0,4000,,4 South Pinehurst Avenue #1A,Hudson Heights
224,,1.0,1,3495,720,2109 Broadway #17-85,Upper West Side
225,1.0,1.5,0,2150,,634 W. 135th Street #24,Manhattanville
226,1.0,1.0,0,3995,,357 West 22nd Street #1,Chelsea
227,1.0,1.0,0,2350,,801 Bergen Street #203,Crown Heights
228,1.0,1.0,0,2350,,801 Bergen Street #304,Crown Heights
229,1.0,,0,2850,,175 West 12th Street #6/C,Greenwich Village
230,1.0,2.0,0,4600,,92 E 7th Street #3,East Village
231,1.0,,1,4100,,433 East 51st Street #8F,Beekman
232,1.0,2.0,0,7400,,26 W 11th Street #3,Greenwich Village
233,2.5,3.0,0,2400,1900,318 Willcox Street ,Mariners Harbor
234,1.0,1.0,0,3595,720,260 West 54th Street #39A,Midtown
235,1.0,1.0,0,3695,,85 East 10th Street #PH6B,East Village
236,1.0,2.0,0,4895,,2 West 16th Street #PFR,Flatiron
237,1.0,1.0,0,3995,,255 West 14th Street #5J,Chelsea
238,1.0,2.0,0,1895,949,2750 Homecrest Avenue #223,Brighton Beach
239,2.0,2.0,0,3942,850,792 Columbus Avenue #2T,Upper West Side
240,1.0,1.0,0,3495,,85 East 10th Street #5H,East Village
241,,3.0,1,7400,1885,111 Fulton Street #601,Fulton/Seaport
242,1.0,2.0,0,1650,,1539 Park Place #D8,Weeksville
243,2.5,4.0,0,4500,,954 Lafayette Avenue #2,Stuyvesant Heights
244,1.0,2.0,0,2800,,954 Lafayette Avenue #1,Stuyvesant Heights
245,1.0,0.0,0,2525,,420 East 79th Street #5G,Upper East Side
246,1.0,0.0,0,2395,,171 East 83rd Street #6A,Upper East Side
247,1.0,0.0,0,1950,,1661 York Avenue #4C,Yorkville
248,1.0,3.0,0,3300,,625 Washington Avenue #2,Crown Heights
249,1.0,2.0,0,2600,,4230 Broadway #1A,Washington Heights
250,1.0,2.0,0,2600,,4230 Broadway #1B,Washington Heights
251,1.0,2.0,0,3858,,245 East 30th Street #84,Kips Bay
252,1.0,,0,3425,545,240 East 86th Street #8L,Yorkville
253,3.5,3.0,0,19950,3062,423 West Street #6DPLX,West Village
254,1.0,1.0,0,2175,,413 East 81st Street #3A,Yorkville
255,1.0,3.0,0,6800,1350,438 Broome Street #3N,Soho
256,1.0,,0,1450,,2110 Westbury Ct #4H,Prospect Lefferts Gardens
257,2.0,2.0,0,4650,,65 Washington Street #4,DUMBO
258,2.0,2.0,0,7800,,212 Warren Street #4N,Battery Park City
259,2.0,2.0,0,4110,1000,4720 Center Boulevard #1208,Hunters Point
260,1.0,1.0,0,4350,767,11 East 29th Street #22B,NoMad
261,1.5,2.0,0,3100,,487 Willoughby Avenue #1,Bedford-Stuyvesant
262,1.0,1.0,0,2050,,1043 Bedford Avenue #3F,Bedford-Stuyvesant
263,1.0,3.0,0,2950,1200,35-17 Broadway #2,Astoria
264,1.0,1.0,0,2600,900,173 Union Street #2,Carroll Gardens
265,1.0,,0,1850,,2727 Henry Hudson Parkway #307,Spuyten Duyvil
266,2.0,3.0,0,3750,,81 S 6th Street #1,Williamsburg
267,1.0,2.0,0,3450,,45-50 Pearson Street #9K,Hunters Point
268,1.0,2.0,0,2475,,1043 Bedford Avenue #2F,Bedford-Stuyvesant
269,1.0,1.0,0,2800,,609 Saint Johns Place #3A,Crown Heights
270,2.0,3.0,0,5500,,82 Woodhull Street #3,Carroll Gardens
271,2.0,2.0,0,4000,1139,245 16th Street #4,Park Slope
272,3.5,3.0,0,14500,2110,2 Columbus Avenue #32A,Lincoln Square
273,1.0,1.0,0,2200,,528 E 13th Street #5C,East Village
274,1.0,1.0,0,3364,746,260 West 54th Street #21D,Midtown
275,1.0,1.0,0,2648,,785 Dekalb Avenue #205,Bedford-Stuyvesant
276,1.0,1.5,0,2800,,227 Clermont Avenue #2L,Fort Greene
277,1.0,,0,1495,,168 India Street #15,Greenpoint
278,1.0,2.0,0,1750,,396 E 96th #2,Brownsville
279,1.0,2.0,0,2000,900,583 Decatur Street #2,Stuyvesant Heights
280,1.0,1.0,0,2000,,451 45th Street #2,Sunset Park
281,1.0,1.0,0,1800,,20-72 Steinway Street #2,Astoria
282,1.0,1.0,0,1750,,808 Dean Street #3F,Crown Heights
283,1.5,1.0,0,4200,,1438 Third Avenue #25A,Upper East Side
284,,2.0,1,4200,850,205 West 15th Street #4R,Chelsea
285,1.0,2.0,0,2600,,4230 Broadway #2A,Washington Heights
286,1.0,2.0,0,2600,,4230 Broadway #2B,Washington Heights
287,,2.0,0,1825,935,3402 Avenue I #4F,Northeast Flatbush
288,1.0,1.0,0,3250,1000,25 Dean Street #4,Cobble Hill
289,1.5,1.0,0,4450,,72.5 Irving Place #5,Gramercy Park
290,1.0,,0,3800,500,298 Mulberry Street #2B,Noho
291,1.0,2.0,0,1550,,2230 University Avenue #4K,University Heights
292,1.0,1.0,0,1900,,321 W 30 #C2,Midtown West
293,1.5,2.0,0,5000,,66 W 69th Street #1R,Lincoln Square
294,2.5,2.0,0,8900,1266,18 West 48th Street #25B,Midtown
295,1.0,1.0,0,2900,750,200 West 54th Street #9C,Midtown
296,1.0,2.0,0,2950,,227 Columbus Avenue #5E,Lincoln Square
297,2.0,2.0,0,4950,1100,9 East 75th Street #1BC,Upper East Side
298,1.0,2.0,0,2100,1000,724 Chauncey Street #2,Bushwick
299,1.0,1.0,0,3900,704,200 East 94th Street #3016,
300,1.0,1.0,0,4054,,520 Second Avenue #2D,Kips Bay
301,1.0,1.0,0,2000,,307 Eastern Parkway #2R,Crown Heights
302,1.0,1.0,0,3438,,520 Second Avenue #20F,Kips Bay
303,1.0,3.0,0,2750,,301 W. 151st Street #5A,
304,1.0,3.0,0,2200,1700,465 Quincy Street #2,Stuyvesant Heights
305,1.0,1.0,0,1750,,4415 34th Avenue #3C,Long Island City
306,1.0,3.0,0,2595,,301 W. 151st Street #4A,Central Harlem
307,1.0,,1,1900,,440 West 41st Street #7A,Midtown West
308,2.0,2.0,0,12500,1865,260 West Broadway #6D,Tribeca
309,1.0,3.0,0,3600,1000,612 Metropolitan Avenue #3A,Williamsburg
310,1.0,2.0,0,2150,,827 Monroe Street #2B,Stuyvesant Heights
311,,1.0,1,3700,707,380 Rector Place #22B,Battery Park City
312,1.0,,0,2340,,336 Flatbush Avenue Extension #31C,Downtown Brooklyn
313,3.5,3.0,0,12000,,201 East 86th Street #32B,Yorkville
314,2.5,,1,7950,,200 East 89th Street #44S,Yorkville
315,1.0,,1,4950,,1 Irving Place #U9A,Gramercy Park
316,2.0,2.0,0,2666,,83-30 Kew Gardens Rd #2R,Kew Gardens
317,1.0,1.0,0,2311,,83-30 Kew Gardens Rd #2P,Kew Gardens
318,2.0,1.0,0,2577,,83-30 Kew Gardens Rd #2F,Kew Gardens
319,1.0,2.0,0,2750,,92 Allen Street #2A,Lower East Side
320,1.0,1.0,0,3800,700,340 East 23rd Street #11C,Gramercy Park
321,1.0,2.0,0,1700,,334 Hart Street #2L,Stuyvesant Heights
322,1.0,1.0,0,2200,,14-16 Orchard Street #3D,Chinatown
323,1.0,3.0,0,2750,,720 West 172nd Street #4C,Washington Heights
324,1.0,1.0,0,1450,,31 E 31st #3F,Flatbush
325,1.0,2.0,0,4900,,2 West 16th Street #CH2,Flatiron
326,1.0,2.0,0,4950,,2 West 16th Street #CH1,Flatiron
327,1.0,1.0,0,2200,,54 South Oxford Street #9,Fort Greene
328,1.0,1.0,0,1850,,1511 Brightwater Avenue #4E,Brighton Beach
329,1.0,3.0,0,4400,,78 Saint Marks Place #4,East Village
330,1.0,2.0,0,3895,800,315 West 33rd Street #20G,Midtown West
331,1.0,1.0,0,3850,,201 East 12th Street #409,East Village
332,2.0,2.0,0,4795,1200,888 Eighth Avenue #5,Midtown
333,1.0,3.0,0,1800,,192-06 116th Rd. #2,St. Albans
334,1.0,1.0,0,1525,,569 Academy Street #31,Inwood
335,1.0,3.0,0,5330,,230 East 44th Street #14H,Turtle Bay
336,,2.0,1,9500,1439,2 River Terrace #16B,Battery Park City
337,2.5,2.0,0,22000,1762,151 East 58th Street #41B,Midtown East
338,,3.0,0,3395,,1162 1st Avenue #3S,
339,1.0,1.0,0,4325,630,77 West 24th Street #18F,Flatiron
340,1.0,,0,3800,573,77 West 24th Street #10B,Flatiron
341,1.0,1.0,0,4895,800,77 West 24th Street #14C,Flatiron
342,1.0,1.0,0,6250,1000,77 West 24th Street #6K,Flatiron
343,1.0,1.0,0,2399,,115 West 77 #2F,Upper West Side
344,2.0,3.0,0,2799,,26-11 9th Street #2F,Astoria
345,2.0,3.0,0,2985,,94 Malcolm X #1,Stuyvesant Heights
346,1.0,3.0,0,3099,,28 Stuyvesant Avenue #2,Stuyvesant Heights
347,1.0,1.0,0,1600,,21-43 38th Street #1,
348,1.0,1.0,0,3000,,305 East 11th Street #2C,East Village
349,1.0,1.0,0,1550,,351 East 21st Street #A3,Flatbush
350,1.0,1.0,0,4595,800,200 North End Avenue #5D,Battery Park City
351,1.0,3.0,0,4650,,344 East 85th Street #A,Yorkville
352,1.0,1.0,0,2395,,421 E 9th Street #B2,East Village
353,1.5,3.0,0,3500,,259 Saint Nicholas Avenue #2R,Bushwick
354,1.0,1.0,0,3250,,145 Mulberry Street #4E,Little Italy
355,1.0,1.0,0,2900,,246 East 4th Street #3B,East Village
356,1.0,2.0,0,2200,,112 Walton Street #1B,Williamsburg
357,1.0,,0,1325,550,40-14 62nd Street #3G,Woodside
358,1.0,,0,1600,,140 West 71st Street #5D,
359,1.0,1.0,0,2300,,220 Spencer Street #2,Bedford-Stuyvesant
360,1.0,2.0,0,1995,,821 Manhattan Avenue #1F,Greenpoint
361,1.0,3.0,0,2049,,570 West 193rd Street #4F,
362,1.0,1.0,0,2750,,5 Tudor City Place #1519,Murray Hill
363,1.0,,0,2500,,401 E 81st Street #5J,Yorkville
364,2.0,2.0,0,4195,950,788 Columbus Avenue #10M,
365,,2.5,1,7995,2339,27-28 Thomson Avenue #700,Hunters Point
366,1.0,,0,2713,457,95 Wall Street #2218,Financial District
367,2.0,3.0,0,3400,1000,9 Monroe Street #2,Clinton Hill
368,1.0,1.0,0,2200,,125 8th Avenue #4F,Park Slope
369,1.0,2.0,0,1375,,67-09 64th Street GARDEN-LEV,Glendale
370,1.0,,0,3100,600,45 Perry Street #7,West Village
371,1.0,,0,2875,600,253 West 73rd Street #7N,Upper West Side
372,1.0,2.0,0,3300,,423 Madison Avenue #6,Midtown
373,1.0,2.0,0,2400,,1427 York Avenue #2B,Upper East Side
374,3.0,3.0,0,7900,,577 2nd Avenue #62,Kips Bay
375,1.0,2.0,0,3475,,690 Greenwich Street #4C,West Village
376,1.0,2.0,0,1900,,621 West  189th Street #2A,
377,1.0,1.0,0,1500,,1730 Carroll Street #C11,Weeksville
378,1.0,,0,3125,,41 Park Avenue #11G,Murray Hill
379,1.0,,1,3200,600,120 Greenwich Street #12B,Financial District
380,1.0,2.0,0,3950,,112 W 80th Street #3R,Upper West Side
381,1.0,1.0,0,2600,,52 Macdougal Street #1A,Soho
382,1.0,1.0,0,4250,,1 Astor Place #5B,Noho
383,1.0,,1,4100,,247 W 11 #9,
384,1.0,3.0,0,2999,,810 Saint Johns Place #2A,Crown Heights
385,2.0,3.0,0,3000,1400,392 Tompkins Avenue #4,Bedford-Stuyvesant
386,1.0,3.0,0,1900,1000,1428 Saint Marks #3,Crown Heights
387,2.0,4.0,0,12000,,231 Second Avenue #15,Gramercy Park
388,1.0,1.0,0,3490,700,455 West 37th Street #1703,Midtown West
389,1.0,2.0,0,3900,,99 Gold Street #1B,Vinegar Hill
390,1.0,1.0,0,2450,,19 West 76th Street #5AW,Upper West Side
391,1.0,1.0,0,2150,,242 East 77th Street #2RE,Upper East Side
392,2.0,2.0,0,7195,,250 West 93rd Street #18A,Upper West Side
393,1.0,1.0,0,1999,860,1135 Pelham Parkway North #6C,Pelham Gardens
394,1.0,1.0,0,3195,,235 Elizabeth Street #12A,Nolita
395,1.0,,0,2820,,11-05 30th Rd #7J,Astoria
396,1.0,2.0,0,3300,1000,384 Warren Street #3,Boerum Hill
397,1.0,1.0,0,3300,700,255 E 49th Street #3C,Turtle Bay
398,1.0,,0,2350,,179 East Houston #6C,Lower East Side
