,bath,bed,furnished,monthly,price,size,street,where
0,3.0,3.0,0,0,1749000,,345 East 69th Street #17GH,Lenox Hill
1,1.0,,0,0,310000,,332 East 77th Street #15,Upper East Side
2,2.5,3.0,0,0,5500000,2492,124 Hudson Street #4A,Tribeca
3,1.0,1.0,0,0,215000,720,35-51 85th Street #8B,
4,2.5,3.0,0,0,1495000,1260,694 De Graw Street #1,Park Slope
5,3.0,3.0,0,0,1595000,2550,80 North Henry Street ,Greenpoint
6,1.0,1.0,0,0,1350000,850,60 East 8th Street #26F,Greenwich Village
7,1.0,1.0,0,0,1200000,600,219 West 14th Street #5R,Chelsea
8,3.0,3.0,0,0,778000,1900,1964 West 9th Street #1,Gravesend
9,1.0,1.0,0,0,475000,950,303 Beverley Road #10E,Kensington
10,1.0,1.0,0,0,875000,718,70 Berry Street #4B,Williamsburg
11,1.0,1.0,0,0,965000,732,88 Greenwich Street #907,Financial District
12,3.5,3.0,0,0,8975000,2924,520 West 28th Street #16,West Chelsea
13,,3.0,1,0,3250000,1892,129 N 3rd Street - #135 ,Williamsburg
14,1.5,2.0,0,0,1199000,1100,30 West Street #2C,Battery Park City
15,2.0,2.0,0,0,1900000,1153,230 Riverside Drive #7A,Upper West Side
16,1.0,1.0,0,0,1375000,732,27 W 72nd Street #1408,Upper West Side
17,1.0,1.0,0,0,299000,800,37-39 84th Street #100,Jackson Heights
18,2.0,2.0,0,0,1250000,,308 East 79th Street #12LM,Upper East Side
19,1.0,1.0,0,0,949000,738,99 John Street #2108,Fulton/Seaport
20,1.0,2.0,0,0,1095000,950,150 East 56th Street #4E,Midtown East
21,1.0,1.0,0,0,419000,,47-55 39th Place #4D,Sunnyside
22,1.0,1.0,0,0,689000,700,100 Beekman Street #11H,Fulton/Seaport
23,2.0,2.0,0,0,995000,,312 East 23rd Street #2A,Gramercy Park
24,2.0,2.0,0,0,900000,956,188 Woodpoint Road #PHB,Williamsburg
25,1.0,1.0,0,0,895000,873,130 Water Street #10D,Financial District
26,1.0,2.0,0,0,1275000,1100,55 East 76th Street #15,Upper East Side
27,1.0,,0,0,599000,509,214 N 11th Street #4H,Williamsburg
28,1.0,,0,0,1380000,1100,20 Pine Street #1710,Financial District
29,2.5,2.0,0,0,6395000,2147,520 West 28th Street #19,West Chelsea
30,1.5,1.0,0,0,1750000,954,247 West 46th Street #2004,Midtown
31,2.0,2.0,0,0,1799000,1134,330 E 38th Street #44K,Murray Hill
32,1.0,1.0,0,0,698000,,892 Bergen Street #7B,Crown Heights
33,1.5,1.0,0,0,1325000,,1438 Third Avenue #21B,Upper East Side
34,2.0,7.0,0,0,594000,3000,3272 Decatur Avenue ,Norwood
35,1.0,2.0,0,0,575000,,870 Riverside Drive #3E,Washington Heights
36,2.0,2.0,0,0,1825000,1202,166 East 63rd Street #2J,Lenox Hill
37,4.5,13.0,0,0,925000,3838,1844 81st Street ,Bensonhurst
38,2.0,4.0,0,0,449000,2166,404 Wortman Avenue ,
39,1.0,1.0,0,0,167000,,5700 Arlington Avenue #15A,Riverdale
40,6.0,9.0,0,0,1195000,2886,1198 Decatur Street ,
41,1.0,2.0,0,0,485000,720,66 Overlook Terrace #2N,Hudson Heights
42,3.5,4.0,0,0,5887000,2424,235 West 75th Street #505,Upper West Side
43,2.5,3.0,0,0,5750000,3200,28 Laight Street #2A,Tribeca
44,1.0,1.0,0,0,1090000,677,540 West 49th Street #607S,Midtown West
45,1.5,3.0,0,0,419000,2100,1473 East 59th Street ,Flatlands
46,1.0,1.0,0,0,425000,,415 East 80th Street #5L,Yorkville
47,1.0,2.0,0,0,525000,1038,1155 Ocean Avenue #2F,Ditmas Park
48,1.0,1.0,0,0,319000,,9453 Ridge Boulevard #2B,Fort Hamilton
49,1.0,1.0,0,0,239000,900,118-11 84th Avenue #211,Kew Gardens
50,1.0,1.0,0,0,178000,,123-25 82nd Avenue #3V,Kew Gardens
51,2.0,2.0,0,0,1565000,,14 Sutton Place South 1B-MAIS,Sutton Place
52,2.0,3.0,0,0,1200000,,1775 East 17th Street #PH,Homecrest
53,5.0,6.0,0,0,12900000,3696,70 Bethune Street #TH,West Village
54,1.0,3.0,0,0,925000,1700,1775 East 17th Street #5,Homecrest
55,1.0,1.0,0,0,1195000,764,300 East 23rd Street #8C,Gramercy Park
56,2.0,4.0,0,0,759000,,60-43 56th Drive ,Maspeth
57,2.5,2.0,0,0,2075000,1369,51 Jay Street #5B,DUMBO
58,1.0,3.0,0,0,850000,1700,1775 East 17th Street #2,Homecrest
59,5.0,4.0,0,0,4250000,,556 East 87th Street ,Yorkville
60,4.0,7.0,0,0,1100000,,149 17th Street ,Greenwood
61,1.0,2.0,0,0,1025000,,250 West 75th Street #5C,Upper West Side
62,1.0,1.0,0,0,159000,,83-55 Lefferts Boulevard #4F,Kew Gardens
63,1.5,2.0,0,0,1175000,887,400 East 54th Street #17B,Sutton Place
64,1.0,2.0,0,0,215000,,144-66 Village Rd #75GB,Kew Gardens Hills
65,1.0,1.0,0,0,549000,,301 East 75th Street #14G,Upper East Side
66,1.0,1.0,0,0,185000,750,138-37 Jewel Avenue #1C,Kew Gardens Hills
67,2.0,3.0,0,0,1088000,2550,548 80th Street ,Bay Ridge
68,1.0,1.0,0,0,495000,780,100-25 Queens Boulevard #7H,Forest Hills
69,1.0,2.0,0,0,610000,,423 15th Street #1C,Park Slope
70,6.0,9.0,0,0,5300000,,6 West 95th Street #1,Upper West Side
71,2.0,2.0,0,0,1325000,1175,22 Montgomery Place #1,Park Slope
72,1.0,2.0,0,0,214888,800,191-15 39th Avenue #170,Flushing
73,1.0,,0,0,395000,350,327 W 85th Street #1C,Upper West Side
74,2.5,2.0,0,0,2650000,1575,160 Central Park S #1709,Central Park South
75,4.0,6.0,0,0,1750000,3700,100 Bennett Avenue #3CD4CD,Hudson Heights
76,3.5,3.0,0,0,8975000,2924,520 West 28th Street #16,West Chelsea
77,2.0,2.0,0,0,2975000,,14 West 17th Street #4N,Flatiron
78,1.0,2.0,0,0,949000,842,53 Boerum Place #9J,Downtown Brooklyn
79,1.0,1.0,0,0,650000,,203 West 102nd Street #2F,Manhattan Valley
80,1.0,,0,0,375000,500,512 East 83rd Street #4A,Yorkville
81,2.0,2.0,0,0,1450000,1245,55 Berry Street #4G,Williamsburg
82,1.0,1.0,0,0,299000,,525 Ocean Parkway #4D,Kensington
83,2.0,5.0,0,0,780000,1582,2412 McDonald Avenue ,Gravesend
84,3.0,3.0,0,0,5500000,2061,101 Warren Street #9A,Tribeca
85,1.0,1.0,0,0,2495000,817,502 Park Avenue #11E,Lenox Hill
86,3.0,4.0,0,0,1599000,,120 Marcus Garvey Boulevard MIX-USE,Stuyvesant Heights
87,1.0,1.0,0,0,635000,,320 East 57th Street #1B,Sutton Place
88,1.0,,0,0,375000,,343 East 51st Street #2B,Turtle Bay
89,1.0,1.0,0,0,2200000,1150,114 East 13th Street #6A,East Village
90,2.0,2.0,0,0,1550000,1244,324 East 4th Street #1A,East Village
91,1.0,1.0,0,0,775000,,165 Christopher Street #2D,West Village
92,6.0,12.0,0,0,1800000,4788,2032 Bay Ridge Avenue ,Bensonhurst
93,1.0,1.0,0,0,419000,,47 Reeve Place #9,Windsor Terrace
94,2.5,7.0,0,0,1425000,3100,151 Cooper Street ,Bushwick
95,6.0,6.0,0,0,1899000,4050,855 Knickerbocker Avenue ,Bushwick
96,3.0,3.0,0,0,2750000,1722,404 East 76th Street #14A,Upper East Side
97,1.0,2.0,0,0,925000,,100 Beekman Street #10D,Fulton/Seaport
98,2.0,2.0,0,0,1340000,946,120 West 58th Street #4D,Midtown
99,3.0,3.0,0,0,5495000,2964,18 Leonard Street #1C,Tribeca
100,2.0,2.0,0,0,1499000,1280,211 North 5th Street #3A,Williamsburg
101,3.0,5.0,0,0,630000,,68 East  54th ,Northeast Flatbush
102,2.5,2.0,0,0,3900000,1605,177 9th Avenue #4B,West Chelsea
103,1.0,,0,0,810000,549,220 Riverside Boulevard #10W,Lincoln Square
104,1.0,1.0,0,0,800000,794,1810 Third Avenue #B7B,East Harlem
105,1.0,1.0,0,0,860000,925,425 East 79th Street #12G,Yorkville
106,2.0,2.0,0,0,1480000,1234,5-19 Borden Avenue #4A,Hunters Point
107,1.0,,0,0,389000,,457 West 57th Street #1116,Midtown West
108,2.5,3.0,0,0,3095000,2250,85 North 3rd Street #505,Williamsburg
109,2.0,3.0,0,0,475000,1650,3636 Greystone Avenue #5BC,Riverdale
110,2.0,1.0,0,0,1495000,960,525 Park Avenue #14E,Lenox Hill
111,1.0,,0,0,675000,,2 Horatio Street #5E,West Village
112,8.5,6.0,0,0,22000000,10897,3 Riverside Drive #1,Upper West Side
113,3.0,5.0,0,0,1249000,1880,111 Beadel Street ,East Williamsburg
114,1.0,1.0,0,0,255000,,112-50 78th Avenue #2H,Forest Hills
115,1.5,3.0,0,0,775000,,2177 E 19th Street ,Sheepshead Bay
116,2.0,2.0,0,0,3125000,2125,123 Prince Street #2NDFLR,Soho
117,1.0,3.0,0,0,380000,,941 Jerome Avenue #6C,Highbridge
118,3.0,5.0,0,0,649000,1875,585 Glenmore Avenue ,East New York
119,2.0,2.0,0,0,1375000,,160 West 87th Street #2B,Upper West Side
120,7.0,16.0,0,0,1100000,4500,1525 Plimpton Avenue #1-4,Bronx
121,1.0,1.0,0,0,399000,775,4 Dartmouth #2F,Forest Hills
122,1.0,1.0,0,0,1225000,,410 West 24th Street #6J,West Chelsea
123,1.0,1.0,0,0,1495000,645,250 Bowery #3C,Nolita
124,3.0,3.0,0,0,2500000,,60 Sutton Place South #9CN,Sutton Place
125,5.0,6.0,0,0,1888800,3136,235 W 136th Street ,Central Harlem
126,1.5,2.0,0,0,959000,1756,817 Dekalb Avenue #1,Bedford-Stuyvesant
127,1.5,1.0,0,0,1410000,884,330 East 38th Street #30P,Murray Hill
128,2.0,2.0,0,0,700000,737,2132 Second Avenue #2D,East Harlem
129,4.0,5.0,0,0,1095000,3150,1346 Prospect Place ,Weeksville
130,1.0,1.0,0,0,650000,,433 West 24th Street #LC,West Chelsea
131,2.5,2.0,0,0,4999000,2016,845 United Nations Plaza #58A,Turtle Bay
132,1.0,1.0,0,0,400000,,66-36 Yellowstone Boulevard #17E,Forest Hills
133,1.0,,0,0,799000,550,7 Lexington Avenue #6E,Gramercy Park
134,1.0,,0,0,535000,,312 West 23rd Street #2O,Chelsea
135,1.0,1.0,0,0,879000,,240 East 15th Street #8,Gramercy Park
136,1.0,1.0,0,0,1260000,769,225 East 34th Street #16D,Murray Hill
137,1.0,1.0,0,0,759000,,222 East 80th Street #10E,Yorkville
138,2.0,2.0,0,0,1695000,,360 East 72nd Street #A1510,Lenox Hill
139,1.0,1.0,0,0,495000,,32 West 82nd Street #2E,Upper West Side
140,1.0,,0,0,765000,796,79 Bridge Street #4F,Vinegar Hill
141,1.0,1.0,0,0,998000,780,250 East 40th Street #7E,Murray Hill
142,2.0,2.0,0,0,1495000,,32 West 82nd Street #2B,Upper West Side
143,1.5,2.0,0,0,2895000,1812,112 East 19th Street #3F,Gramercy Park
144,3.0,3.0,0,0,599000,,3037 Voorhies #3,Sheepshead Bay
145,8.0,16.0,0,0,3999000,6720,618 Marlborough Road ,Ditmas Park
146,1.0,2.0,0,0,999000,,299 Pearl Street #4G,Fulton/Seaport
147,1.0,1.0,0,0,147000,,71-48 252nd Street #UPPER,Glen Oaks Village
148,1.0,,0,0,795000,,16 West 16th Street #12MS,Flatiron
149,1.0,1.0,0,0,1195000,,410 West 24th Street #7K,West Chelsea
150,3.5,4.0,0,0,1465000,2471,748 Lafayette Avenue ,Bedford-Stuyvesant
151,1.0,1.0,0,0,669000,,77 Fulton Street #6F,Fulton/Seaport
152,2.0,3.0,0,0,3988000,2350,323 East 50th Street #2,Turtle Bay
153,1.0,,0,0,675000,455,80 Park Avenue #4A,Murray Hill
154,3.0,4.0,0,0,8750000,,245 Waverly Place ,West Village
155,3.0,5.0,0,0,2500000,3347,179 Wyckoff Street ,Boerum Hill
156,3.0,3.0,0,0,3495000,1789,88 West Washington Place #3C,Greenwich Village
157,1.5,2.0,0,0,1525000,,333 East 69th Street #TH10,Lenox Hill
158,2.0,2.0,0,0,1695000,1500,401 East 65th Street #13CD,Lenox Hill
159,3.0,4.0,0,0,2800000,1900,404 East 79th Street #5ABC,Upper East Side
160,2.0,2.0,0,0,1850000,1225,4 West 21st Street #7A,Flatiron
161,1.5,1.0,0,0,860000,,137 East 36th Street #3A,Murray Hill
162,3.0,3.0,0,0,5995000,,829 Park Avenue #3A,Upper East Side
163,1.0,1.0,0,0,149999,,3725 Henry Hudson Parkway #12G,Riverdale
164,2.5,3.0,0,0,449500,,1422 East 54th Street ,Flatlands
165,3.0,4.0,0,0,3350000,2281,232 East 50th Street #1,Turtle Bay
166,1.5,2.0,0,0,1595000,1085,340 East 64th Street #10C,Lenox Hill
167,1.0,1.0,0,0,769000,,90 Gold Street #23J,Fulton/Seaport
168,3.0,4.0,0,0,3100000,,366 6th Avenue ,Park Slope
169,7.0,6.0,0,0,6999999,,6 West 83rd Street ,Upper West Side
170,1.0,2.0,0,0,1250000,,211 West 10th Street #4C,West Village
171,2.0,2.0,0,0,1995000,1340,240 East 10th Street #4A,East Village
172,3.5,3.0,0,0,11450000,2829,456 West 19th Street PENTHOUSEH,West Chelsea
173,1.0,1.0,0,0,730000,,242 East 25th Street #10A,Kips Bay
174,2.0,4.0,0,0,595000,,294 Hemlock Street ,East New York
175,2.0,2.0,0,0,2400000,1972,85 North 3rd Street #408,Williamsburg
176,2.0,3.0,0,0,3375000,2010,8-10 Warren Street #4EAST,Tribeca
177,1.0,,0,0,765000,796,79 Bridge Street #4F,Vinegar Hill
178,1.0,,0,0,520000,446,320 East 54th Street #5A,Sutton Place
179,3.5,3.0,0,0,7500000,3228,1055 Park Avenue #3,Carnegie Hill
180,3.5,5.0,0,0,2725000,4542,536 East 18th Street ,Ditmas Park
181,1.0,1.0,0,0,1095000,712,70 Washington Street #12Q,DUMBO
182,4.5,4.0,0,0,19900000,3466,157 West 57th Street #47C,Midtown
183,1.0,1.0,0,0,1239000,927,110 Livingston Street #12C,Downtown Brooklyn
184,1.0,,0,0,989000,953,50 Bridge Street #407,DUMBO
185,2.0,2.0,0,0,1555000,,179 East 79th Street #5A,Upper East Side
186,1.0,2.0,0,0,1450000,,92 Perry Street #21,West Village
187,1.0,2.0,0,0,369000,800,518 West 134th Street #21,West Harlem
188,2.0,2.0,0,0,3495000,2027,135 West 4th Street #3EAST,Greenwich Village
189,1.0,1.0,0,0,549000,,325 Clinton Avenue #3B,Clinton Hill
190,1.0,2.0,0,0,699000,,355 Clinton Avenue #1C,Clinton Hill
191,1.0,1.0,0,0,535000,,350 Cabrini Boulevard #3F,Hudson Heights
192,2.0,2.0,0,0,3400000,1522,200 East 66th Street #E1204,Lenox Hill
193,2.0,2.0,0,0,2150000,1275,117 East 57th Street #25D,Midtown
194,1.0,1.0,0,0,289000,,340 Haven Avenue #4D,Hudson Heights
195,2.0,3.0,0,0,550000,,2077 Schenectady ,Flatlands
196,1.0,1.0,0,0,1250000,1000,23 West 9th Street #1,Greenwich Village
197,4.0,4.0,0,0,3895000,,2373 Broadway #1905,Upper West Side
198,3.0,14.0,0,0,1300000,3600,705 Madison Street ,Stuyvesant Heights
199,3.0,6.0,0,0,1699000,,80-19 Austin Street ,Kew Gardens
200,1.0,1.0,0,0,829888,745,350 Albany Street #12F,Battery Park City
201,3.0,2.0,0,0,5375000,2114,101 Warren Street #5H,Tribeca
202,5.0,7.0,0,0,1275000,2800,161-09 72nd Avenue ,Pomonok
203,2.0,3.0,0,0,2895000,1800,333 Central Park West #724,Upper West Side
204,1.0,1.0,0,0,699000,,425 East 51st Street #6F,Beekman
205,3.0,6.0,0,0,2650000,3591,112 Edgecombe Avenue ,Central Harlem
206,1.0,2.0,0,0,475000,,222 Bay 44th Street #222A,Gravesend
207,1.0,,0,0,1195000,749,650 Sixth Avenue #5C,Flatiron
208,2.0,2.0,0,0,1325000,941,613 Baltic Street #4E,Park Slope
209,2.0,3.0,0,0,1995000,2000,135 Eastern Parkway #16C,Prospect Heights
210,2.0,1.0,0,0,2900000,1359,124 West 24th Street #PHD,Chelsea
211,1.0,2.0,0,0,669000,,237 West 109th Street #4D,Manhattan Valley
212,3.5,3.0,0,0,1795000,,793 Saint Johns Place ,Crown Heights
213,3.0,3.0,0,0,2495000,1528,613 Baltic Street #10B,Park Slope
214,3.0,3.0,0,0,1995000,1356,613 Baltic Street #6E,Park Slope
215,2.0,2.0,0,0,1755000,1291,613 Baltic Street #3B,Park Slope
216,3.5,5.0,0,0,2825000,,112 Marlborough Road ,Prospect Park South
217,2.0,2.0,0,0,1495000,1044,613 Baltic Street #6C,Park Slope
218,1.0,1.0,0,0,779000,680,215 East 96th Street #35D,Yorkville
219,1.0,1.0,0,0,849500,,201 West 70th Street #16L,Lincoln Square
220,1.0,2.0,0,0,899000,2240,405 92nd Street ,Bay Ridge
221,3.0,6.0,0,0,1099000,2000,243 Lake Street ,Gravesend
222,2.5,3.0,0,0,6350000,2168,225 Fifth Avenue #7L,NoMad
223,1.0,1.0,0,0,115000,661,1560 Unionport Road #5A,Parkchester
224,1.0,,0,0,845000,590,75 Wall Street #27Q,Financial District
225,1.0,1.0,0,0,1050000,,125 East 74th Street #2B,Upper East Side
226,2.0,2.0,0,0,3500000,,15 W 72nd Street #30G,Upper West Side
227,5.0,9.0,0,0,699000,,432 Thieriot Avenue ,Soundview
228,1.0,1.0,0,0,115000,613,2061 Saint Raymonds Avenue #3H,Parkchester
229,2.0,3.0,0,0,429000,,4026 Rombouts Avenue ,Eastchester
230,1.0,1.0,0,0,118000,862,34 Metropolitan Oval #6C,Parkchester
231,1.0,1.0,0,0,118000,669,34 Metropolitan Oval #11E,Parkchester
232,4.0,5.0,0,0,1475000,2324,229 Madison Street ,Bedford-Stuyvesant
233,1.0,1.0,0,0,118000,619,1591 Metropolitan Avenue #6F,Parkchester
234,3.5,3.0,0,0,2595000,1714,62 West 62 #4F,Lincoln Square
235,1.0,1.0,0,0,115000,651,1519 Metropolitan Avenue #4G,Parkchester
236,4.0,8.0,0,0,2500000,4049,1311 Dean Street ,Crown Heights
237,1.0,1.0,0,0,115000,629,1569 Metropolitan Avenue #1D,Parkchester
238,2.5,2.0,0,0,4250000,1800,65 Central Park West #11B,Lincoln Square
239,4.0,8.0,0,0,1399000,3500,541 Madison Street #3,Stuyvesant Heights
240,1.0,1.0,0,0,115000,610,1576 Unionport Road #2D,Parkchester
241,3.0,5.0,0,0,575000,,1222 East 83rd Street ,Canarsie
242,2.0,2.0,0,0,699000,,2226 East 28th Street ,Homecrest
243,2.5,5.0,0,0,1150000,,845 Lafayette Avenue ,Stuyvesant Heights
244,1.0,1.0,0,0,465000,875,811 Cortelyou Road #5B,Kensington
245,1.0,1.0,0,0,1265000,,41 Fifth Avenue #4F,Greenwich Village
246,1.0,1.0,0,0,115000,690,1515 Metropolitan Avenue #6C,Parkchester
247,4.5,4.0,0,0,5925000,2252,70 Charlton #18E,Soho
248,2.0,3.0,0,0,1850000,,38 Gramercy Park #3EG,Midtown East
249,1.5,1.0,0,0,1489000,899,325 Fifth Avenue #14D,Midtown South
250,1.0,1.0,0,0,1149000,688,325 Fifth Avenue #17F,Midtown South
251,3.5,3.0,0,0,6850000,2213,30 Park Place #56B,Tribeca
252,1.5,1.0,0,0,1100000,998,426 West 23rd Street #1F,West Chelsea
253,4.5,4.0,0,0,5285000,2941,360 Central Park West #8H,Upper West Side
254,1.0,,0,0,599000,,75 Henry Street #31D,Brooklyn Heights
255,1.0,2.0,0,0,915000,,360 Clinton Avenue #3F,Clinton Hill
256,3.0,3.0,0,0,2900000,2080,415 East 54th Street #14A,Sutton Place
257,1.0,1.0,0,0,690000,,348 East 89th Street #4,Yorkville
258,1.0,,0,0,500000,550,345 East 81st Street #6D,Yorkville
259,1.0,1.0,0,0,1225000,688,325 Fifth Avenue #22F,Midtown South
260,21.0,3.0,0,0,850000,1280,300 West 138th Street #300B,Central Harlem
261,2.0,1.5,0,0,2395000,1211,225 Fifth Avenue #9D,NoMad
262,2.5,2.0,0,0,3995000,,8 East 83rd Street #PHB,Upper East Side
263,3.5,3.0,0,0,9495000,3600,25 Sutton Place #10FLR,Sutton Place
264,2.0,2.0,0,0,1319000,875,416 West 52nd Street #204,Midtown West
265,1.0,1.0,0,0,599000,,10 Plaza Street E #4G,Prospect Heights
266,3.0,4.0,0,0,495000,1851,111-20 208th Street #1FAM,Queens Village
267,1.0,,0,0,700000,550,382 Central Park West #3E,Upper West Side
268,1.0,1.0,0,0,1750000,759,322 West 57th Street #25G,Midtown West
269,3.0,6.0,0,0,1000000,,5836 69th Avenue ,Ridgewood
270,1.0,0.0,0,0,999999,500,325 Lexington Avenue #5B,Midtown East
271,3.0,3.0,0,0,9250000,,91 Central Park West #8A,Lincoln Square
272,1.0,2.0,0,0,399000,,1479 Prospect Place #1,Weeksville
273,1.0,,0,0,950000,454,400 Fifth Avenue #45C,Midtown South
274,2.0,2.0,0,0,999000,888,246 Withers Street #2E,Williamsburg
275,1.0,1.0,0,0,389000,750,47-25 40th Street #1A,Sunnyside
276,1.0,1.0,0,0,425000,,336 East 77th Street #18,Upper East Side
277,1.0,,0,0,389000,,321 East 54th Street #3D,Sutton Place
278,1.0,3.0,0,0,2500000,,474 Greenwich Street #1N,Tribeca
279,1.0,1.0,0,0,475000,600,628 East 14th Street #5,East Village
280,2.0,3.0,0,0,999000,1580,819 Dekalb Avenue #2,Bedford-Stuyvesant
281,6.0,6.0,0,0,4900000,4134,725 Metropolitan Avenue ,Williamsburg
282,2.0,3.0,0,0,2650000,1600,187 Hicks Street #7D,Brooklyn Heights
283,1.0,3.0,0,0,1995000,1600,39 East 10th Street #1E,Greenwich Village
284,1.5,1.0,0,0,1795000,945,255 Hudson Street #10D,Soho
285,1.0,1.0,0,0,595000,510,630 Union Street #3D,Park Slope
286,1.0,1.0,0,0,830000,880,3540 30th Street #4M,Long Island City
287,2.5,2.0,0,0,499000,1207,8604 Glenwood Road #1,Canarsie
288,,,0,0,1665000,2460,504 Halsey Street ,Stuyvesant Heights
289,2.0,2.0,0,0,3388000,2257,333 West 14th Street #2,Chelsea
290,2.0,2.0,0,0,1425000,990,125 North 10th Street #N4B,Williamsburg
291,1.0,1.0,0,0,960000,,160 Columbia Heights #5G,Brooklyn Heights
292,2.0,3.0,0,0,2250000,,209 East 56th Street #10F/G,Midtown East
293,1.0,1.0,0,0,698000,,892 Bergen Street #6B,Crown Heights
294,3.5,3.0,0,0,4150000,2097,30 West Street #23F,Battery Park City
295,1.0,2.0,0,0,332500,950,2928 West 5th Street #L3,Coney Island
296,4.5,4.0,0,0,6100000,,149 East 73rd Street #7A,Upper East Side
297,1.0,,0,0,365000,,303 East 57th Street #12A,Sutton Place
298,1.5,1.0,0,0,1699000,1056,425 Fifth Avenue #57C,Midtown South
299,2.0,2.0,0,0,1425000,,25 Sutton Place South #17O,Sutton Place
300,1.0,2.0,0,0,1200000,890,345 E 80 #11B,Yorkville
301,1.0,,0,0,395000,450,321 East 54th Street #10E,Sutton Place
302,2.0,4.0,0,0,1695000,1400,393 Prospect Avenue ,Park Slope
303,3.0,5.0,0,0,1495000,2520,163 Stuyvesant Avenue ,Stuyvesant Heights
304,1.0,,0,0,1350000,550,426 West Broadway #6C,Soho
305,3.0,4.0,0,0,1395000,2950,2102 66th Street ,Bensonhurst
306,2.0,3.0,0,0,2850000,,131 East 93rd Street #7CD,Carnegie Hill
307,3.0,8.0,0,0,3250000,3100,177 Bergen Street ,Boerum Hill
308,3.5,4.0,0,0,7600000,3108,11 Beach Street #8C,Tribeca
309,,,0,0,8750000,3750,167 East 79th Street ,Upper East Side
310,1.5,3.0,0,0,659000,,81-21 169th Street ,Jamaica Hills
311,1.0,,0,0,350000,400,1420 York Avenue #2M,Upper East Side
312,2.0,3.0,0,0,1189000,1700,110-45 Queens Boulevard #111,Forest Hills
313,1.0,3.0,0,0,589000,1224,2049 East 68th Street ,Bergen Beach
314,2.0,2.0,0,0,2295000,1558,25 Murray Street #4F,Tribeca
315,1.0,1.0,0,0,135000,800,140-17 84th Drive #3G,Briarwood
316,1.0,0.0,0,0,499000,,101 Lafayette Avenue #4K,Fort Greene
317,1.0,1.0,0,0,129000,,2925 Matthews Avenue #1G,Bronxwood
318,1.5,1.0,0,0,1650000,800,106 Central Park South #3C,Central Park South
319,2.0,3.0,0,0,889000,1258,1115 East 15th Street ,Midwood
320,2.0,2.0,0,0,2400000,1500,70 East 10th Street #5R,East Village
321,,,0,0,749000,,1089 Dekalb Avenue ,Stuyvesant Heights
322,2.5,2.0,0,0,2495000,1553,425 East 13th Street #2P,East Village
323,2.0,2.0,0,0,899000,1043,195 Adams Street #16C,Downtown Brooklyn
324,2.0,3.0,0,0,4950000,2000,50 East 79th Street #16B,Upper East Side
325,2.0,2.0,0,0,999000,,125 Eastern Parkway #1GJ,Prospect Heights
326,1.0,1.0,0,0,559000,,446 E 86th Street #12B,Yorkville
327,2.0,2.0,0,0,3750000,2183,90 East End Avenue #11B,Yorkville
328,,,0,0,1000000,,58-36 69th Avenue ,Ridgewood
329,2.0,1.0,0,0,2275000,1139,456 West 19th Street #4/5C,West Chelsea
330,2.5,6.0,0,0,1198000,,133 Bay 14th Street ,Bath Beach
331,1.0,4.0,0,0,659000,,503 Van Sicklen Street ,Gravesend
332,2.5,3.0,0,0,789000,1348,1412 East 34th Street ,Midwood
333,2.0,2.0,0,0,1595000,903,199 Bowery #8A,Lower East Side
334,1.0,1.0,0,0,1179000,725,416 West 52nd Street #322,Midtown West
335,1.0,1.0,0,0,1271000,724,416 West 52nd Street #300,Midtown West
336,2.0,2.0,0,0,3350000,1449,12 East 88th Street #6D,Carnegie Hill
337,,,0,0,7995000,4000,314 East 69th Street ,Lenox Hill
338,1.0,1.0,0,0,859000,632,416 West 52nd Street #200,Midtown West
339,1.0,,0,0,679000,444,416 West 52nd Street #324,Midtown West
340,1.0,,0,0,736000,499,416 West 52nd Street #203,Midtown West
341,1.0,,0,0,597000,448,416 West 52nd Street #201,Midtown West
342,1.0,1.0,0,0,650000,,245 East 54th Street #20B,Midtown East
343,2.5,7.0,0,0,2200000,,67 Rutland Road #TWHSE,Prospect Lefferts Gardens
344,4.0,10.0,0,0,1295000,3200,217 West 131st Street ,Central Harlem
345,1.0,1.0,0,0,119000,725,2104 Holland Avenue #6A,Bronxdale
346,2.0,2.0,0,0,1495000,999,388 Bridge Street #PH52D,Downtown Brooklyn
347,3.0,5.0,0,0,1200000,,250 Dahill Road #1,Kensington
348,1.0,1.0,0,0,1195000,724,121 East 23rd Street #20C,Flatiron
349,1.0,2.0,0,0,329000,,920 East 17th Street #417,Midwood
350,1.0,1.0,0,0,1335000,915,360 East 89 #6C,Yorkville
351,2.5,3.0,0,0,5500000,4203,169 Hudson Street #2S,Tribeca
352,1.5,3.0,0,0,549000,,83-29 Little Neck Pky ,Glen Oaks Village
353,2.5,2.0,0,0,3500000,2970,80 Warren Street #10,Tribeca
354,1.0,,0,0,450000,450,7 Park Avenue #9J,Murray Hill
355,3.0,6.0,0,0,825000,2450,2616 Avenue D #3,Brooklyn
356,2.0,1.0,0,0,1880000,915,1965 Broadway #17G,Lincoln Square
357,3.0,7.0,0,0,629000,1600,957 East 104th Street ,Canarsie
358,1.0,2.0,0,0,780000,895,328 West 96th Street #3C,Upper West Side
359,2.0,4.0,0,0,7725000,1566,123 Washington Street #56FG,Financial District
360,3.0,4.0,0,0,10225000,2052,123 Washington Street #56FGH,Financial District
361,2.5,3.0,0,0,8745000,1846,123 Washington Street #56DF,Financial District
