,bath,bed,furnished,monthly,price,size,street,where
6213,2.5,3.0,0,0,8500000,2016,345 West 14th Street #PHB,Chelsea
6214,1.0,1.0,0,0,539000,640,118 East 60th Street #29A,Lenox Hill
6215,3.0,3.0,0,0,4500000,3000,30 East 10th Street #10N,Greenwich Village
6216,1.0,,0,0,750000,751,189 Avenue C #5D,East Village
6217,2.0,2.0,0,0,2100000,1329,1600 Broadway #10C,Midtown
6218,2.5,2.0,0,0,6395000,2147,520 West 28th Street #19,West Chelsea
6219,3.0,4.0,0,0,1700000,2230,180 Cabrini Boulevard #26-27,Hudson Heights
6220,1.0,2.0,0,0,1030000,1107,555 Main Street #804,Roosevelt Island
6221,4.5,4.0,0,0,16000000,4023,520 West 28th Street #34,West Chelsea
6222,1.0,,0,0,329000,,223 East 78th Street #3B,Upper East Side
6223,1.0,1.0,0,0,497500,,205 West 54th Street #11F,Midtown
6224,2.0,3.0,0,0,2395000,1800,160 Riverside Drive #1B,Upper West Side
6225,1.0,1.0,0,0,205000,800,83-80 118th Street #2J,Kew Gardens
6226,2.0,3.0,0,0,375000,,4705 Henry Hudson Pkwy W #9E,Riverdale
6227,4.5,5.0,0,0,2875000,,27 Sigma Place ,Riverdale
6228,1.0,1.0,0,0,410000,827,66 Overlook Terrace #6P,Hudson Heights
6229,9.0,7.0,0,0,30000000,,1050 Fifth Avenue #18FLR,Carnegie Hill
6230,1.0,1.0,0,0,719000,,325 East 57th Street #8C,Sutton Place
6231,4.0,8.0,0,0,1495000,,567 Evergreen Avenue ,Bushwick
6232,3.0,5.0,0,0,999000,2376,1473 Dean Street ,Crown Heights
6233,2.0,2.0,0,0,1450000,,15 West 12th Street #9FG,Greenwich Village
6234,2.0,2.0,0,0,3995000,2025,345 West 13th Street #3B,West Village
6235,3.0,3.0,0,0,5850000,1800,225 West 60th Street #PH2C,Lincoln Square
6236,2.0,2.0,0,0,2575000,,25 East End Avenue #10C,Yorkville
6237,9.0,7.0,0,0,30000000,,1050 Fifth Avenue #18FLR,Carnegie Hill
6238,2.0,2.0,0,0,464000,,313 Brightwater Court #4A,Brighton Beach
6239,2.5,3.0,0,0,2950000,1439,110 Third Avenue #15C,East Village
6240,1.0,,0,0,549000,450,250 West 89th Street #PH2A,Upper West Side
6241,3.0,3.0,0,0,3500000,1700,167 E 61st Street #30C,Lenox Hill
6242,1.0,1.0,0,0,184000,,1800 Ocean Parkway #5C,Gravesend
6243,1.0,1.0,0,0,217000,,2555 E 12th Street #L5,Sheepshead Bay
6244,,5.0,0,0,1299999,2430,751 Macon Street ,Stuyvesant Heights
6245,,,0,0,84500000,15000,8 East 62nd Street ,Lenox Hill
6246,1.0,1.0,0,0,197000,1005,3090 Voorhies Avenue #E1,Sheepshead Bay
6247,1.0,1.0,0,0,170000,,675 Walton Avenue #6L,Concourse
6248,1.0,,0,0,685000,423,200 East 69th Street #4H,Lenox Hill
6249,1.0,2.0,0,0,289000,1100,7913 Bay Pkwy #3B,Gravesend
6250,2.0,2.0,0,0,1950000,,870 Fifth Avenue #9F,Lenox Hill
6251,2.0,2.0,0,0,4250000,1557,240 Riverside Boulevard #26C+,Lincoln Square
6252,1.0,1.0,0,0,950000,770,34 North 7th Street #2T,Williamsburg
6253,2.0,2.0,0,0,700000,,2790 Broadway #67D,Manhattan Valley
6254,2.0,3.0,0,0,850000,,1717 East 14th Street #3,Homecrest
6255,3.0,5.0,0,0,1350000,4000,134 Beach 133rd Street ,Belle Harbor
6256,3.0,5.0,0,0,1350000,4000,134 Beach 133rd Street ,Belle Harbor
6257,1.5,3.0,0,0,868000,,140-14 58 Rd ,Flushing
6258,2.5,2.0,0,0,4000000,1860,101 Warren Street #820,Tribeca
6259,5.5,5.0,0,0,31500000,7000,1110 Park Avenue #PH,Carnegie Hill
6260,1.5,3.0,0,0,868000,,140-14 58 Rd ,Flushing
6261,3.5,5.0,0,0,4256000,2580,138 Pierrepont Street #5K,Brooklyn Heights
6262,4.0,4.0,0,0,4500000,3019,333 East 91st Street #30AB,Yorkville
6263,1.0,3.0,0,0,199000,1540,689 Eldert Lane #1,City Line
6264,1.0,3.0,0,0,270000,998,140-10 84th Drive #2F,Briarwood
6265,1.0,2.0,0,0,125000,,1475 Thieriot Avenue #1C,Parkchester
6266,2.0,2.0,0,0,1850000,1198,121 E 23rd Street #8D,Flatiron
6267,1.0,2.0,0,0,225000,1100,6601 Broadway #4G,Riverdale
6268,8.0,6.0,0,0,17950000,6000,48 East 64th Street ,Lenox Hill
6269,,2.0,0,0,159000,950,2285 Bragg Street ,Homecrest
6270,3.0,3.0,0,0,848000,1700,219-70 Stewart Rd ,Bayside
6271,1.0,1.0,0,0,169000,850,555 Kappock Street #1N,Spuyten Duyvil
6272,6.0,5.0,0,0,15000000,4386,212 Warren Street #PHS,Battery Park City
6273,1.0,,0,0,1175000,585,59 West 12th Street #4B,Greenwich Village
6274,3.0,5.0,0,0,999000,2100,2500 Johnson Avenue #3DE,Spuyten Duyvil
6275,1.0,1.0,0,0,925000,667,635 West 42nd Street #16E,Midtown West
6276,1.0,1.0,0,0,249000,,220-55 46th Avenue #3U,Bayside
6277,2.0,3.0,0,0,4500000,2100,100 Hudson Street #7BC,Tribeca
6278,2.5,2.0,0,0,3790000,1624,50 United Nations Plaza #5B,Turtle Bay
6279,5.0,6.0,0,0,769000,,218-18 139th Avenue ,Laurelton
6280,3.0,3.0,0,0,2649000,1899,280 Saint Marks Avenue #3H,Prospect Heights
6281,2.0,2.0,0,0,649000,1896,2773 Bedford Avenue ,Flatbush
6282,2.5,3.0,0,0,2095000,1427,550 Vanderbilt Avenue #1009,Prospect Heights
6283,1.0,,0,0,575000,,60 Pineapple Street #7E,Brooklyn Heights
6284,1.0,1.0,0,0,253000,780,97-07 63rd Road #8F,Rego Park
6285,1.0,1.0,0,0,679000,,245 E 54th Street #9G,Midtown East
6286,1.0,1.0,0,0,1100000,643,236 East 47th Street #30B,Turtle Bay
6287,2.5,2.0,0,0,2950000,1395,5 Beekman Street #31A,Fulton/Seaport
6288,1.0,,0,0,930000,,2251 Ryder Street ,Marine Park
6289,1.0,1.0,0,0,525000,,2132 Second Avenue #7E,East Harlem
6290,1.0,1.0,0,0,99000,,498 Pennsylvania Avenue #12,East New York
6291,2.5,5.0,0,0,734500,2160,53 Rochester Avenue ,Stuyvesant Heights
6292,3.0,3.0,0,0,3100000,3003,541 Leonard Street #A,Greenpoint
6293,1.0,1.0,0,0,469000,,225 Adams Street #1K,Downtown Brooklyn
